lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
amh_Ethi-ewe_Latn,amh_Ethi,ewe_Latn,1,1,192457,192428,29,0.6156,3280.2
cym_Latn-gle_Latn,cym_Latn,gle_Latn,1,1,431131,431078,53,0.6747,17892.2
nno_Latn-pan_Guru,nno_Latn,pan_Guru,1,1,69433,69431,2,0.7487,3001.4
ewe_Latn-tsn_Latn,ewe_Latn,tsn_Latn,1,1,162509,162457,52,0.3148,7871.6
ary_Arab-xho_Latn,ary_Arab,xho_Latn,1,1,48550,48550,0,0.0335,2530.8
asm_Beng-gle_Latn,asm_Beng,gle_Latn,1,1,18740,18740,0,0.7384,926.7
jav_Latn-swa_Latn,jav_Latn,swa_Latn,1,1,283517,283397,120,0.1210,13919.4
lug_Latn-zul_Latn,lug_Latn,zul_Latn,1,1,127431,127394,37,0.3625,6110.5
tel_Telu-xho_Latn,tel_Telu,xho_Latn,1,1,136496,136480,16,0.6170,6084.7
nno_Latn-xho_Latn,nno_Latn,xho_Latn,1,1,77678,77673,5,0.6402,3658.7
asm_Beng-isl_Latn,asm_Beng,isl_Latn,1,1,30995,30995,0,0.4637,1407.6
nso_Latn-yor_Latn,nso_Latn,yor_Latn,1,1,134317,134303,14,0.2243,6422.4
kin_Latn-yor_Latn,kin_Latn,yor_Latn,1,1,197781,197740,41,0.2434,8924.7
nor_Latn-sqi_Latn,nor_Latn,sqi_Latn,1,1,619421,614204,5217,0.6998,32874.0
jav_Latn-xho_Latn,jav_Latn,xho_Latn,1,1,56451,56433,18,0.1283,2509.9
amh_Ethi-ful_Latn,amh_Ethi,ful_Latn,1,1,127800,127678,122,0.0885,5942.2
mkd_Cyrl-xho_Latn,mkd_Cyrl,xho_Latn,1,1,169035,168929,106,0.6197,7382.5
cym_Latn-hat_Latn,cym_Latn,hat_Latn,1,1,164432,164427,5,0.6502,6718.5
tel_Telu-yor_Latn,tel_Telu,yor_Latn,1,1,90410,90404,6,0.5682,3369.7
luo_Latn-swa_Latn,luo_Latn,swa_Latn,1,1,92621,92603,18,0.3493,3706.5
hye_Armn-isl_Latn,hye_Armn,isl_Latn,1,1,235472,235426,46,0.6871,9841.1
run_Latn-zul_Latn,run_Latn,zul_Latn,1,1,251339,251290,49,0.5131,10327.2
ewe_Latn-xho_Latn,ewe_Latn,xho_Latn,1,1,188491,188467,24,0.4232,8158.1
amh_Ethi-guj_Gujr,amh_Ethi,guj_Gujr,1,1,52737,52735,2,0.7071,2609.0
jav_Latn-mlg_Latn,jav_Latn,mlg_Latn,1,1,202276,202107,169,0.4044,9335.4
azj_Latn-gle_Latn,azj_Latn,gle_Latn,1,1,206773,206647,126,0.6877,9148.9
kan_Knda-als_Latn,kan_Knda,als_Latn,1,1,94337,94308,29,0.7451,3898.1
hye_Armn-lao_Laoo,hye_Armn,lao_Laoo,1,1,48186,48180,6,0.5612,2517.0
epo_Latn-nob_Latn,epo_Latn,nob_Latn,1,1,1091164,1091023,141,0.7566,41584.4
nor_Latn-srd_Latn,nor_Latn,srd_Latn,1,1,91175,91051,124,0.3942,4439.1
cym_Latn-hau_Latn,cym_Latn,hau_Latn,1,1,66420,66410,10,0.4570,3267.9
tel_Telu-zul_Latn,tel_Telu,zul_Latn,1,1,55714,55706,8,0.6187,2968.9
mkd_Cyrl-yor_Latn,mkd_Cyrl,yor_Latn,1,1,104941,104931,10,0.5732,4326.0
asm_Beng-npi_Deva,asm_Beng,npi_Deva,1,1,315313,315305,8,0.3436,12831.1
luo_Latn-tsn_Latn,luo_Latn,tsn_Latn,1,1,81823,81792,31,0.2772,3904.4
azj_Latn-hat_Latn,azj_Latn,hat_Latn,1,1,60533,60527,6,0.6038,1946.3
jav_Latn-mon_Cyrl,jav_Latn,mon_Cyrl,1,1,66729,66668,61,0.1785,2416.6
tgk_Cyrl-xho_Latn,tgk_Cyrl,xho_Latn,1,1,66664,66658,6,0.5167,1883.2
mkd_Cyrl-zul_Latn,mkd_Cyrl,zul_Latn,1,1,58052,58022,30,0.5302,1903.5
ewe_Latn-yor_Latn,ewe_Latn,yor_Latn,1,1,129445,129420,25,0.2373,4115.3
azj_Latn-hau_Latn,azj_Latn,hau_Latn,1,1,64414,64403,11,0.5399,1984.4
nso_Latn-zul_Latn,nso_Latn,zul_Latn,1,1,218670,218633,37,0.5274,7915.3
amh_Ethi-hye_Armn,amh_Ethi,hye_Armn,1,1,139809,139796,13,0.6343,5113.8
luo_Latn-xho_Latn,luo_Latn,xho_Latn,1,1,88990,88945,45,0.2838,2804.6
nor_Latn-sun_Latn,nor_Latn,sun_Latn,1,1,149415,149389,26,0.3991,4654.2
mal_Mlym-nep_Deva,mal_Mlym,nep_Deva,1,1,622400,622362,38,0.4587,23983.8
som_Latn-zul_Latn,som_Latn,zul_Latn,1,1,484495,484383,112,0.5300,18261.3
hye_Armn-mar_Deva,hye_Armn,mar_Deva,1,1,201189,201121,68,0.5837,6047.9
mal_Mlym-nno_Latn,mal_Mlym,nno_Latn,1,1,73884,73879,5,0.7312,1843.6
luo_Latn-zul_Latn,luo_Latn,zul_Latn,1,1,98560,98517,43,0.3115,2722.9
mlg_Latn-mar_Deva,mlg_Latn,mar_Deva,1,1,151867,151857,10,0.3034,4090.1
hye_Armn-pan_Guru,hye_Armn,pan_Guru,1,1,45787,45778,9,0.6450,960.3
kin_Latn-zul_Latn,kin_Latn,zul_Latn,1,1,383937,383786,151,0.4336,11930.9
mlg_Latn-pan_Guru,mlg_Latn,pan_Guru,1,1,38846,38845,1,0.4939,821.2
ewe_Latn-zul_Latn,ewe_Latn,zul_Latn,1,1,204731,204697,34,0.4048,5301.3
sin_Sinh-als_Latn,sin_Sinh,als_Latn,1,1,363530,363475,55,0.6300,10772.3
asm_Beng-sin_Sinh,asm_Beng,sin_Sinh,1,1,292167,292160,7,0.3612,7713.6
kir_Cyrl-als_Latn,kir_Cyrl,als_Latn,1,1,50396,50380,16,0.5403,1792.0
tso_Latn-xho_Latn,tso_Latn,xho_Latn,1,1,274880,274816,64,0.5980,7567.5
asm_Beng-mar_Deva,asm_Beng,mar_Deva,1,1,505532,505526,6,0.3929,15332.9
fry_Latn-gle_Latn,fry_Latn,gle_Latn,1,1,51164,51163,1,0.4814,1753.5
mlg_Latn-swa_Latn,mlg_Latn,swa_Latn,1,1,84007,84002,5,0.5373,2419.9
fry_Latn-hau_Latn,fry_Latn,hau_Latn,1,1,48883,48883,0,0.1031,1041.4
azj_Latn-isl_Latn,azj_Latn,isl_Latn,1,1,313897,313829,68,0.7124,7988.2
kir_Cyrl-mar_Deva,kir_Cyrl,mar_Deva,1,1,97401,97389,12,0.5727,2160.5
hye_Armn-swa_Latn,hye_Armn,swa_Latn,1,1,186201,186186,15,0.4561,4535.5
mlg_Latn-xho_Latn,mlg_Latn,xho_Latn,1,1,76403,76400,3,0.2288,1544.4
nya_Latn-swa_Latn,nya_Latn,swa_Latn,1,1,324005,323965,40,0.4805,8331.8
jav_Latn-mri_Latn,jav_Latn,mri_Latn,1,1,390550,390475,75,0.6321,10008.1
sot_Latn-swa_Latn,sot_Latn,swa_Latn,1,1,274552,274468,84,0.4875,6604.8
asm_Beng-snd_Arab,asm_Beng,snd_Arab,1,1,146658,146645,13,0.2404,3310.7
tso_Latn-yor_Latn,tso_Latn,yor_Latn,1,1,116440,116418,22,0.2209,2456.0
mlg_Latn-yor_Latn,mlg_Latn,yor_Latn,1,1,47982,47980,2,0.5343,1087.9
amh_Ethi-ibo_Latn,amh_Ethi,ibo_Latn,1,1,395370,395343,27,0.5999,8763.4
asm_Beng-sqi_Latn,asm_Beng,sqi_Latn,1,1,33225,32959,266,0.5104,881.4
kir_Cyrl-swa_Latn,kir_Cyrl,swa_Latn,1,1,73903,73898,5,0.2989,1676.7
cym_Latn-isl_Latn,cym_Latn,isl_Latn,1,1,508346,508264,82,0.7087,12837.9
mai_Deva-mar_Deva,mai_Deva,mar_Deva,1,1,278514,278454,60,0.4105,6514.5
hye_Armn-swh_Latn,hye_Armn,swh_Latn,1,1,91103,91066,37,0.6303,2048.4
amh_Ethi-jav_Latn,amh_Ethi,jav_Latn,1,1,58570,58569,1,0.2260,1013.6
azj_Latn-mar_Deva,azj_Latn,mar_Deva,1,1,113861,113831,30,0.6654,2676.2
cym_Latn-lao_Laoo,cym_Latn,lao_Laoo,1,1,36031,36026,5,0.6303,930.3
kmr_Latn-als_Latn,kmr_Latn,als_Latn,1,1,43158,43143,15,0.4999,1138.1
jav_Latn-nep_Deva,jav_Latn,nep_Deva,1,1,94326,94153,173,0.1678,2832.4
amh_Ethi-kan_Knda,amh_Ethi,kan_Knda,1,1,63585,63584,1,0.7610,1194.1
hye_Armn-xho_Latn,hye_Armn,xho_Latn,1,1,57524,57515,9,0.5761,1684.6
mon_Cyrl-mar_Deva,mon_Cyrl,mar_Deva,1,1,93646,93635,11,0.3939,2635.1
asm_Beng-pan_Guru,asm_Beng,pan_Guru,1,1,255175,255172,3,0.4406,5683.0
fry_Latn-isl_Latn,fry_Latn,isl_Latn,1,1,198704,198698,6,0.3235,4568.8
kmr_Latn-mar_Deva,kmr_Latn,mar_Deva,1,1,64476,64465,11,0.5394,1552.8
azj_Latn-mlt_Latn,azj_Latn,mlt_Latn,1,1,81498,81471,27,0.7712,2012.8
sin_Sinh-swa_Latn,sin_Sinh,swa_Latn,1,1,320228,320213,15,0.3629,7708.5
jav_Latn-nob_Latn,jav_Latn,nob_Latn,1,1,60624,60464,160,0.2190,1707.9
kmr_Latn-pan_Guru,kmr_Latn,pan_Guru,1,1,29119,29117,2,0.6373,628.4
amh_Ethi-khk_Cyrl,amh_Ethi,khk_Cyrl,1,1,58569,58563,6,0.6061,1535.3
nor_Latn-tel_Telu,nor_Latn,tel_Telu,1,1,463728,463553,175,0.5458,11873.4
epo_Latn-nor_Latn,epo_Latn,nor_Latn,1,1,667835,667800,35,0.6358,16703.7
mon_Cyrl-swa_Latn,mon_Cyrl,swa_Latn,1,1,65743,65740,3,0.5436,1454.2
mai_Deva-pan_Guru,mai_Deva,pan_Guru,1,1,151448,151409,39,0.4079,3667.1
hye_Armn-yor_Latn,hye_Armn,yor_Latn,1,1,80804,80799,5,0.6025,1781.6
kmr_Latn-xho_Latn,kmr_Latn,xho_Latn,1,1,31496,31492,4,0.4652,737.6
fry_Latn-mar_Deva,fry_Latn,mar_Deva,1,1,95111,95109,2,0.1905,2393.1
asm_Beng-san_Deva,asm_Beng,san_Deva,1,1,115178,115178,0,0.2085,2716.0
hye_Armn-zul_Latn,hye_Armn,zul_Latn,1,1,46607,46600,7,0.5963,1709.9
cym_Latn-mar_Deva,cym_Latn,mar_Deva,1,1,183785,183707,78,0.6348,4670.5
nor_Latn-tgk_Cyrl,nor_Latn,tgk_Cyrl,1,1,71560,71500,60,0.3660,2109.3
mri_Latn-als_Latn,mri_Latn,als_Latn,1,1,59091,59076,15,0.6152,1954.3
azj_Latn-swa_Latn,azj_Latn,swa_Latn,1,1,99794,99744,50,0.5033,2741.6
fry_Latn-swa_Latn,fry_Latn,swa_Latn,1,1,26236,26236,0,0.4749,840.3
mai_Deva-san_Deva,mai_Deva,san_Deva,1,1,65074,65071,3,0.1890,1959.6
epo_Latn-npi_Deva,epo_Latn,npi_Deva,1,1,71998,71974,24,0.7624,2239.5
asm_Beng-xho_Latn,asm_Beng,xho_Latn,1,1,41766,41762,4,0.6502,1334.2
tso_Latn-zul_Latn,tso_Latn,zul_Latn,1,1,284675,284609,66,0.5861,7335.8
amh_Ethi-khm_Khmr,amh_Ethi,khm_Khmr,1,1,126203,126197,6,0.6585,3136.0
sin_Sinh-swh_Latn,sin_Sinh,swh_Latn,1,1,152950,152918,32,0.6353,4489.9
epo_Latn-oci_Latn,epo_Latn,oci_Latn,1,1,51978,51978,0,0.6219,1523.4
ibo_Latn-als_Latn,ibo_Latn,als_Latn,1,1,52399,52391,8,0.3799,1927.2
ast_Latn-als_Latn,ast_Latn,als_Latn,1,1,38088,38047,41,0.5375,1194.0
fry_Latn-xho_Latn,fry_Latn,xho_Latn,1,1,68159,68157,2,0.2129,1982.6
mri_Latn-mar_Deva,mri_Latn,mar_Deva,1,1,79328,79306,22,0.5897,2435.5
lin_Latn-swa_Latn,lin_Latn,swa_Latn,1,1,146587,146535,52,0.3957,4536.6
epo_Latn-plt_Latn,epo_Latn,plt_Latn,1,1,51554,51549,5,0.7474,1352.3
ast_Latn-gle_Latn,ast_Latn,gle_Latn,1,1,60660,60657,3,0.4578,1543.7
sot_Latn-swh_Latn,sot_Latn,swh_Latn,1,1,406883,406801,82,0.6486,10423.6
mri_Latn-xho_Latn,mri_Latn,xho_Latn,1,1,51235,51229,6,0.6602,1303.1
ast_Latn-hau_Latn,ast_Latn,hau_Latn,1,1,21439,21439,0,0.1643,649.2
nya_Latn-swh_Latn,nya_Latn,swh_Latn,1,1,442793,442748,45,0.6020,11571.6
tum_Latn-xho_Latn,tum_Latn,xho_Latn,1,1,145405,145377,28,0.5495,3903.7
cym_Latn-mlt_Latn,cym_Latn,mlt_Latn,1,1,171933,171829,104,0.7029,4787.8
azj_Latn-swh_Latn,azj_Latn,swh_Latn,1,1,174265,174152,113,0.6895,4937.0
ful_Latn-hau_Latn,ful_Latn,hau_Latn,1,1,106437,106175,262,0.0980,3349.0
ibo_Latn-isl_Latn,ibo_Latn,isl_Latn,1,1,129559,129537,22,0.5492,3494.5
nor_Latn-yue_Hani,nor_Latn,yue_Hani,1,1,193260,193225,35,0.6571,5395.2
sin_Sinh-xho_Latn,sin_Sinh,xho_Latn,1,1,139362,139353,9,0.3319,4005.5
npi_Deva-kin_Latn,npi_Deva,kin_Latn,1,1,12976,12976,0,0.1768,712.5
lin_Latn-swh_Latn,lin_Latn,swh_Latn,1,1,97901,97866,35,0.5178,3174.0
mal_Mlym-nob_Latn,mal_Mlym,nob_Latn,1,1,724927,724684,243,0.5403,18763.3
sot_Latn-tir_Ethi,sot_Latn,tir_Ethi,1,1,112454,112450,4,0.5047,3879.3
npi_Deva-nno_Latn,npi_Deva,nno_Latn,1,1,29422,29414,8,0.8361,1429.0
cym_Latn-pan_Guru,cym_Latn,pan_Guru,1,1,92458,92450,8,0.6868,3226.0
tum_Latn-yor_Latn,tum_Latn,yor_Latn,1,1,91600,91590,10,0.3176,3331.4
azj_Latn-xho_Latn,azj_Latn,xho_Latn,1,1,80579,80521,58,0.6904,3073.7
amh_Ethi-kin_Latn,amh_Ethi,kin_Latn,1,1,265434,265384,50,0.4606,7432.8
ibo_Latn-mar_Deva,ibo_Latn,mar_Deva,1,1,102539,102511,28,0.4529,3594.2
sin_Sinh-yor_Latn,sin_Sinh,yor_Latn,1,1,96590,96590,0,0.5399,3182.1
nya_Latn-tir_Ethi,nya_Latn,tir_Ethi,1,1,135057,135053,4,0.6375,4438.2
ast_Latn-isl_Latn,ast_Latn,isl_Latn,1,1,169419,169416,3,0.2856,5335.2
mya_Mymr-als_Latn,mya_Mymr,als_Latn,1,1,180870,180825,45,0.5809,5801.2
npi_Deva-nob_Latn,npi_Deva,nob_Latn,1,1,80933,80886,47,0.7243,2283.8
lin_Latn-tsn_Latn,lin_Latn,tsn_Latn,1,1,128737,128632,105,0.4156,4048.2
amh_Ethi-kir_Cyrl,amh_Ethi,kir_Cyrl,1,1,72536,72531,5,0.4954,1901.3
sin_Sinh-zul_Latn,sin_Sinh,zul_Latn,1,1,49267,49265,2,0.5164,1216.5
ful_Latn-yor_Latn,ful_Latn,yor_Latn,1,1,152083,151967,116,0.0380,4848.1
bem_Latn-hau_Latn,bem_Latn,hau_Latn,1,1,89752,89696,56,0.2349,2480.6
epo_Latn-sin_Sinh,epo_Latn,sin_Sinh,1,1,255852,255850,2,0.4287,7409.0
mya_Mymr-pan_Guru,mya_Mymr,pan_Guru,1,1,45880,45878,2,0.6500,1165.1
amh_Ethi-kmr_Latn,amh_Ethi,kmr_Latn,1,1,34007,33997,10,0.4406,690.9
mal_Mlym-als_Latn,mal_Mlym,als_Latn,1,1,381118,381048,70,0.5124,11114.9
npi_Deva-nor_Latn,npi_Deva,nor_Latn,1,1,56284,56275,9,0.2284,1646.0
fur_Latn-isl_Latn,fur_Latn,isl_Latn,1,1,34028,34026,2,0.6417,1332.7
epo_Latn-snd_Arab,epo_Latn,snd_Arab,1,1,36686,36686,0,0.3562,1552.2
sna_Latn-als_Latn,sna_Latn,als_Latn,1,1,54064,54047,17,0.6448,1921.7
tum_Latn-zul_Latn,tum_Latn,zul_Latn,1,1,158808,158785,23,0.5268,4778.6
fur_Latn-swa_Latn,fur_Latn,swa_Latn,1,1,30739,30735,4,0.4149,1433.1
ast_Latn-mar_Deva,ast_Latn,mar_Deva,1,1,134090,134089,1,0.1780,4861.9
sot_Latn-tsn_Latn,sot_Latn,tsn_Latn,1,1,203336,203286,50,0.4569,6863.7
epo_Latn-som_Latn,epo_Latn,som_Latn,1,1,52059,52044,15,0.7596,2609.1
fur_Latn-xho_Latn,fur_Latn,xho_Latn,1,1,28199,28193,6,0.2673,1802.3
bem_Latn-swa_Latn,bem_Latn,swa_Latn,1,1,99799,99757,42,0.3187,4855.5
ast_Latn-swa_Latn,ast_Latn,swa_Latn,1,1,26262,26262,0,0.4483,1795.5
cym_Latn-swa_Latn,cym_Latn,swa_Latn,1,1,223678,223659,19,0.4866,8619.4
mya_Mymr-swa_Latn,mya_Mymr,swa_Latn,1,1,138728,138720,8,0.4274,6882.8
nya_Latn-tsn_Latn,nya_Latn,tsn_Latn,1,1,210623,210607,16,0.4409,8997.0
lin_Latn-xho_Latn,lin_Latn,xho_Latn,1,1,165946,165840,106,0.4419,8315.2
asm_Beng-tel_Telu,asm_Beng,tel_Telu,1,1,769535,769507,28,0.3782,24246.2
amh_Ethi-lin_Latn,amh_Ethi,lin_Latn,1,1,120277,120105,172,0.5143,8170.0
asm_Beng-wln_Latn,asm_Beng,wln_Latn,1,1,23043,23043,0,0.5432,1145.0
ibo_Latn-swa_Latn,ibo_Latn,swa_Latn,1,1,257074,257028,46,0.4131,10974.3
guj_Gujr-als_Latn,guj_Gujr,als_Latn,1,1,96329,96298,31,0.6293,5179.4
bem_Latn-tsn_Latn,bem_Latn,tsn_Latn,1,1,86371,86336,35,0.3141,4649.6
ast_Latn-xho_Latn,ast_Latn,xho_Latn,1,1,91437,91437,0,0.0927,4466.8
ast_Latn-bre_Latn,ast_Latn,bre_Latn,1,1,22200,22199,1,0.4867,1222.8
mya_Mymr-swh_Latn,mya_Mymr,swh_Latn,1,1,69337,69324,13,0.6566,3350.0
lin_Latn-yor_Latn,lin_Latn,yor_Latn,1,1,54501,54459,42,0.2557,2824.6
twi_Latn-xho_Latn,twi_Latn,xho_Latn,1,1,184829,184784,45,0.3950,10134.7
ast_Latn-cym_Latn,ast_Latn,cym_Latn,1,1,30658,30658,0,0.6719,2279.1
aze_Latn-hat_Latn,aze_Latn,hat_Latn,1,1,59257,59256,1,0.4676,3611.8
amh_Ethi-lua_Latn,amh_Ethi,lua_Latn,1,1,98387,98028,359,0.3771,6057.4
mya_Mymr-xho_Latn,mya_Mymr,xho_Latn,1,1,76133,76129,4,0.5967,4892.9
jav_Latn-nor_Latn,jav_Latn,nor_Latn,1,1,562353,559810,2543,0.1433,28590.2
jav_Latn-oci_Latn,jav_Latn,oci_Latn,1,1,5137,5137,0,0.5654,659.2
bem_Latn-xho_Latn,bem_Latn,xho_Latn,1,1,103546,103484,62,0.3930,6820.0
amh_Ethi-lug_Latn,amh_Ethi,lug_Latn,1,1,122256,122175,81,0.5059,2591.9
guj_Gujr-isl_Latn,guj_Gujr,isl_Latn,1,1,126880,126849,31,0.6876,8031.4
aze_Latn-hau_Latn,aze_Latn,hau_Latn,1,1,60980,60980,0,0.2468,4202.1
cym_Latn-swh_Latn,cym_Latn,swh_Latn,1,1,216083,216039,44,0.6537,11869.3
mya_Mymr-yor_Latn,mya_Mymr,yor_Latn,1,1,65146,65142,4,0.5369,3700.0
amh_Ethi-luo_Latn,amh_Ethi,luo_Latn,1,1,82783,82744,39,0.5053,1973.6
sna_Latn-swa_Latn,sna_Latn,swa_Latn,1,1,330341,330254,87,0.4969,18199.7
jav_Latn-pag_Latn,jav_Latn,pag_Latn,1,1,77783,77744,39,0.4083,4110.6
twi_Latn-yor_Latn,twi_Latn,yor_Latn,1,1,146261,146243,18,0.2482,8218.7
mya_Mymr-zul_Latn,mya_Mymr,zul_Latn,1,1,40002,40000,2,0.5869,1832.0
lin_Latn-zul_Latn,lin_Latn,zul_Latn,1,1,170197,170100,97,0.4144,10344.5
bem_Latn-zul_Latn,bem_Latn,zul_Latn,1,1,110893,110824,69,0.3912,5396.7
ast_Latn-epo_Latn,ast_Latn,epo_Latn,1,1,205215,205212,3,0.2941,10462.6
aze_Latn-isl_Latn,aze_Latn,isl_Latn,1,1,126674,126672,2,0.4495,5292.9
ibo_Latn-swh_Latn,ibo_Latn,swh_Latn,1,1,279374,279322,52,0.5827,14471.9
ast_Latn-fry_Latn,ast_Latn,fry_Latn,1,1,22763,22763,0,0.6156,1091.1
nep_Deva-als_Latn,nep_Deva,als_Latn,1,1,90287,90223,64,0.5628,4040.3
ast_Latn-fur_Latn,ast_Latn,fur_Latn,1,1,13629,13628,1,0.5280,745.9
cym_Latn-xho_Latn,cym_Latn,xho_Latn,1,1,154728,154597,131,0.6780,7128.3
ltz_Latn-mar_Deva,ltz_Latn,mar_Deva,1,1,95134,95133,1,0.1102,4211.8
amh_Ethi-mal_Mlym,amh_Ethi,mal_Mlym,1,1,208992,208983,9,0.6334,6664.3
ast_Latn-hbs_Latn,ast_Latn,hbs_Latn,1,1,21770,21770,0,0.7925,963.5
epo_Latn-sqi_Latn,epo_Latn,sqi_Latn,1,1,440424,440392,32,0.5919,22702.3
ast_Latn-ilo_Latn,ast_Latn,ilo_Latn,1,1,27175,27172,3,0.0862,1815.5
aze_Latn-mar_Deva,aze_Latn,mar_Deva,1,1,102208,102203,5,0.3116,5286.0
cym_Latn-yor_Latn,cym_Latn,yor_Latn,1,1,64405,64402,3,0.5835,3389.4
npi_Deva-sin_Sinh,npi_Deva,sin_Sinh,1,1,561595,561551,44,0.5591,28559.2
twi_Latn-zul_Latn,twi_Latn,zul_Latn,1,1,190916,190875,41,0.3750,8869.7
ibo_Latn-tsn_Latn,ibo_Latn,tsn_Latn,1,1,119392,119353,39,0.2956,6125.8
mal_Mlym-nor_Latn,mal_Mlym,nor_Latn,1,1,742176,742038,138,0.3412,33842.8
cym_Latn-zul_Latn,cym_Latn,zul_Latn,1,1,38884,38874,10,0.5801,1763.0
ltz_Latn-swa_Latn,ltz_Latn,swa_Latn,1,1,98548,98547,1,0.1537,4993.0
ast_Latn-jav_Latn,ast_Latn,jav_Latn,1,1,58589,58571,18,0.2442,2749.0
bho_Deva-mar_Deva,bho_Deva,mar_Deva,1,1,189635,189617,18,0.3584,8834.4
wln_Latn-xho_Latn,wln_Latn,xho_Latn,1,1,28277,28277,0,0.5109,1286.9
aze_Latn-swa_Latn,aze_Latn,swa_Latn,1,1,49137,49135,2,0.6429,2368.7
amh_Ethi-mkd_Cyrl,amh_Ethi,mkd_Cyrl,1,1,210177,210154,23,0.6008,5212.6
ast_Latn-kin_Latn,ast_Latn,kin_Latn,1,1,23346,23346,0,0.1882,1192.0
epo_Latn-srd_Latn,epo_Latn,srd_Latn,1,1,93330,93328,2,0.4840,4976.4
ltz_Latn-xho_Latn,ltz_Latn,xho_Latn,1,1,34370,34370,0,0.2204,1619.2
amh_Ethi-mlg_Latn,amh_Ethi,mlg_Latn,1,1,66810,66808,2,0.4963,1212.0
amh_Ethi-mon_Cyrl,amh_Ethi,mon_Cyrl,1,1,59542,59538,4,0.5428,2134.0
epo_Latn-sun_Latn,epo_Latn,sun_Latn,1,1,53990,53990,0,0.4000,2921.9
bho_Deva-pan_Guru,bho_Deva,pan_Guru,1,1,88860,88852,8,0.2932,4726.5
ast_Latn-ltz_Latn,ast_Latn,ltz_Latn,1,1,67266,67266,0,0.3345,3685.7
sot_Latn-xho_Latn,sot_Latn,xho_Latn,1,1,633237,633127,110,0.6423,31794.8
ast_Latn-lzh_Hani,ast_Latn,lzh_Hani,1,1,13288,13288,0,0.6139,569.7
amh_Ethi-mri_Latn,amh_Ethi,mri_Latn,1,1,62701,62697,4,0.6495,1872.6
lua_Latn-swa_Latn,lua_Latn,swa_Latn,1,1,87959,87947,12,0.3758,4575.3
nya_Latn-xho_Latn,nya_Latn,xho_Latn,1,1,609778,609744,34,0.6113,29887.3
bre_Latn-gle_Latn,bre_Latn,gle_Latn,1,1,63066,63065,1,0.4841,2319.4
sna_Latn-swh_Latn,sna_Latn,swh_Latn,1,1,431867,431725,142,0.6391,19228.6
lua_Latn-tsn_Latn,lua_Latn,tsn_Latn,1,1,82873,82813,60,0.3285,2958.7
nep_Deva-pan_Guru,nep_Deva,pan_Guru,1,1,333367,333245,122,0.5196,14693.2
epo_Latn-tel_Telu,epo_Latn,tel_Telu,1,1,151731,151714,17,0.7360,5452.6
ast_Latn-mal_Mlym,ast_Latn,mal_Mlym,1,1,137965,137965,0,0.2085,4555.8
amh_Ethi-mya_Mymr,amh_Ethi,mya_Mymr,1,1,136727,136717,10,0.6620,4449.8
bre_Latn-isl_Latn,bre_Latn,isl_Latn,1,1,116526,116522,4,0.2982,3964.9
epo_Latn-wln_Latn,epo_Latn,wln_Latn,1,1,38931,38927,4,0.6705,1637.2
nep_Deva-san_Deva,nep_Deva,san_Deva,1,1,91486,91461,25,0.3314,3228.6
lua_Latn-xho_Latn,lua_Latn,xho_Latn,1,1,96523,96474,49,0.3851,3471.1
ibo_Latn-xho_Latn,ibo_Latn,xho_Latn,1,1,341986,341922,64,0.5608,13274.2
amh_Ethi-nep_Deva,amh_Ethi,nep_Deva,1,1,105194,105189,5,0.5328,3083.4
bre_Latn-mar_Deva,bre_Latn,mar_Deva,1,1,78697,78687,10,0.2135,2948.8
sna_Latn-tir_Ethi,sna_Latn,tir_Ethi,1,1,157907,157906,1,0.6821,5496.2
npi_Deva-snd_Arab,npi_Deva,snd_Arab,1,1,380207,380188,19,0.4783,15046.2
epo_Latn-yue_Hani,epo_Latn,yue_Hani,1,1,97681,97680,1,0.4324,3248.3
amh_Ethi-nno_Latn,amh_Ethi,nno_Latn,1,1,37452,37447,5,0.3097,1703.5
nep_Deva-swa_Latn,nep_Deva,swa_Latn,1,1,87479,87471,8,0.4960,2763.8
npi_Deva-sqi_Latn,npi_Deva,sqi_Latn,1,1,41060,41058,2,0.2033,1277.3
bre_Latn-pan_Guru,bre_Latn,pan_Guru,1,1,45925,45925,0,0.5131,1693.3
lua_Latn-zul_Latn,lua_Latn,zul_Latn,1,1,102149,102116,33,0.3936,3911.5
amh_Ethi-nob_Latn,amh_Ethi,nob_Latn,1,1,96216,96190,26,0.6704,1428.0
bre_Latn-swa_Latn,bre_Latn,swa_Latn,1,1,14409,14409,0,0.3068,814.4
npi_Deva-sun_Latn,npi_Deva,sun_Latn,1,1,38928,38920,8,0.6107,1860.1
ewe_Latn-ibo_Latn,ewe_Latn,ibo_Latn,1,1,88452,88435,17,0.3535,3344.0
kan_Knda-ory_Orya,kan_Knda,ory_Orya,1,1,1844995,1844985,10,0.5694,104634.2
bre_Latn-xho_Latn,bre_Latn,xho_Latn,1,1,77290,77288,2,0.3014,2325.2
amh_Ethi-nor_Latn,amh_Ethi,nor_Latn,1,1,196962,196945,17,0.4146,3545.0
jav_Latn-plt_Latn,jav_Latn,plt_Latn,1,1,759476,759399,77,0.6848,30196.8
lug_Latn-swa_Latn,lug_Latn,swa_Latn,1,1,111327,111289,38,0.3253,3925.8
