lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
mar_Deva-nds_Latn,mar_Deva,nds_Latn,1,1,47437,47436,1,0.2549,1713.2
cym_Latn-sin_Sinh,cym_Latn,sin_Sinh,1,1,192791,192782,9,0.7064,7744.2
ltz_Latn-nep_Deva,ltz_Latn,nep_Deva,1,1,55082,55078,4,0.1593,1555.4
ibo_Latn-nor_Latn,ibo_Latn,nor_Latn,1,1,154177,154160,17,0.3648,5579.0
cym_Latn-som_Latn,cym_Latn,som_Latn,1,1,59097,59087,10,0.5548,2137.3
apc_Arab-nob_Latn,apc_Arab,nob_Latn,1,1,174722,174649,73,0.8019,5382.4
ibo_Latn-nso_Latn,ibo_Latn,nso_Latn,1,1,83987,83965,22,0.2764,2983.5
ltz_Latn-nob_Latn,ltz_Latn,nob_Latn,1,1,126547,126533,14,0.4603,3957.2
apc_Arab-nor_Latn,apc_Arab,nor_Latn,1,1,105869,105821,48,0.6493,3813.4
cym_Latn-sqi_Latn,cym_Latn,sqi_Latn,1,1,209449,209434,15,0.5576,6989.0
asm_Beng-ory_Orya,asm_Beng,ory_Orya,1,1,485185,485180,5,0.4824,35030.5
ars_Arab-mal_Mlym,ars_Arab,mal_Mlym,1,1,73034,73033,1,0.3509,2357.4
ast_Latn-nds_Latn,ast_Latn,nds_Latn,1,1,29409,29409,0,0.7179,839.3
ast_Latn-und_Kana,ast_Latn,und_Kana,1,1,9228,9228,0,0.7809,304.0
ltz_Latn-nor_Latn,ltz_Latn,nor_Latn,1,1,239121,239057,64,0.2307,6913.3
ars_Arab-mkd_Cyrl,ars_Arab,mkd_Cyrl,1,1,100931,100910,21,0.7474,1900.8
ltz_Latn-oci_Latn,ltz_Latn,oci_Latn,1,1,51839,51839,0,0.1888,829.5
cym_Latn-srd_Latn,cym_Latn,srd_Latn,1,1,155824,155817,7,0.1515,2728.6
nob_Latn-sin_Sinh,nob_Latn,sin_Sinh,1,1,814881,814751,130,0.7087,34097.4
bho_Deva-ory_Orya,bho_Deva,ory_Orya,1,1,120602,120600,2,0.3653,2677.6
cym_Latn-sun_Latn,cym_Latn,sun_Latn,1,1,87405,87397,8,0.6011,1142.3
ltz_Latn-sin_Sinh,ltz_Latn,sin_Sinh,1,1,106862,106862,0,0.1347,1296.8
ibo_Latn-nya_Latn,ibo_Latn,nya_Latn,1,1,481173,481040,133,0.5459,10287.2
nob_Latn-som_Latn,nob_Latn,som_Latn,1,1,66053,66044,9,0.7018,1576.5
bre_Latn-nds_Latn,bre_Latn,nds_Latn,1,1,48396,48396,0,0.5628,1077.5
ltz_Latn-sqi_Latn,ltz_Latn,sqi_Latn,1,1,129596,129590,6,0.1641,1760.9
ibo_Latn-run_Latn,ibo_Latn,run_Latn,1,1,92588,92555,33,0.3872,1424.0
ltz_Latn-tel_Telu,ltz_Latn,tel_Telu,1,1,32006,32005,1,0.6839,327.3
cym_Latn-nds_Latn,cym_Latn,nds_Latn,1,1,68673,68667,6,0.5293,1380.6
cym_Latn-tel_Telu,cym_Latn,tel_Telu,1,1,198722,198712,10,0.7637,2502.0
ars_Arab-nob_Latn,ars_Arab,nob_Latn,1,1,375901,375839,62,0.7781,4691.9
ibo_Latn-sin_Sinh,ibo_Latn,sin_Sinh,1,1,108835,108824,11,0.5273,1222.2
lua_Latn-nya_Latn,lua_Latn,nya_Latn,1,1,109462,109336,126,0.4006,1514.9
cym_Latn-tgk_Cyrl,cym_Latn,tgk_Cyrl,1,1,99209,99204,5,0.6075,1275.9
cym_Latn-uig_Arab,cym_Latn,uig_Arab,1,1,14274,14274,0,0.7702,169.9
