model,source_lang,target_lang,n_pairs,n_datasets,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
Alibaba-NLP/gte-multilingual-base,est_Latn,lim_Latn,1012,1,0.8382166624069214,0.07820449769496918,0.5542681813240051,0.9938681721687317,0.6208813947439193,0.7037643164396286,0.7364376723766327,0.7904203683137894,0.8422885537147522,0.896001785993576,0.9335658073425293,0.9504611164331436,0.9798578834533691
Alibaba-NLP/gte-multilingual-base,isl_Latn,srd_Latn,1012,1,0.8306685090065002,0.08436252921819687,0.591373860836029,0.9953283071517944,0.6408785212039948,0.6874628603458405,0.7195244193077087,0.7718883007764816,0.8309879899024963,0.8990819305181503,0.9446628987789154,0.963092252612114,0.9898263359069824
Alibaba-NLP/gte-multilingual-base,hin_Deva,kas_Deva,1012,1,0.8166155219078064,0.07385864108800888,0.5518538951873779,0.988074541091919,0.6387732684612274,0.6864057004451751,0.7170235455036164,0.7688227593898773,0.8213673532009125,0.8685542643070221,0.9065200388431549,0.9308373868465423,0.9689107763767242
Alibaba-NLP/gte-multilingual-base,guj_Gujr,kas_Deva,1012,1,0.8285182118415833,0.07669083774089813,0.5659754276275635,0.9854705333709717,0.6315597742795944,0.6911877065896987,0.7254591464996338,0.7752108424901962,0.8330551981925964,0.8882371485233307,0.9263461291790008,0.9431574761867523,0.9706245708465576
Alibaba-NLP/gte-multilingual-base,kan_Knda,kas_Deva,1012,1,0.819025456905365,0.08062738925218582,0.5230013132095337,0.9923738241195679,0.6245872730016708,0.6810230761766434,0.7090754210948944,0.765277698636055,0.8240814805030823,0.8761654049158096,0.9238880753517151,0.9435464471578597,0.9751018518209458
Alibaba-NLP/gte-multilingual-base,ben_Beng,kas_Deva,1012,1,0.8188925385475159,0.07673322409391403,0.5320264101028442,0.9941612482070923,0.6137426352500915,0.6858685970306396,0.7198314487934112,0.7680627703666687,0.8234223127365112,0.8756342232227325,0.913799273967743,0.9355417877435683,0.9658346730470657
Alibaba-NLP/gte-multilingual-base,kas_Deva,mal_Mlym,1012,1,0.8384048342704773,0.08023203909397125,0.5502706170082092,0.9907668232917786,0.6360807341337203,0.6921962440013886,0.7260243833065033,0.7861974537372589,0.8505207002162933,0.89848193526268,0.9355937659740448,0.9542425304651261,0.9766307657957077
Alibaba-NLP/gte-multilingual-base,eng_Latn,kas_Deva,1012,1,0.7363587021827698,0.06588579714298248,0.49649474024772644,0.9335708022117615,0.5775577563047409,0.6285914033651352,0.6553495228290558,0.6930353939533234,0.7339497208595276,0.7787643522024155,0.823866355419159,0.8496061652898788,0.8882826429605484
Alibaba-NLP/gte-multilingual-base,kas_Deva,mar_Deva,1012,1,0.8252463936805725,0.07599634677171707,0.5556173920631409,0.9856752157211304,0.6348266839981079,0.6869003504514695,0.7226230144500733,0.7759740501642227,0.8309314250946045,0.8817046731710434,0.9207806289196014,0.9381954222917557,0.9706591403484344
Alibaba-NLP/gte-multilingual-base,heb_Hebr,kab_Latn,1012,1,0.7786237597465515,0.07506103813648224,0.4918973743915558,0.9840556979179382,0.6050513154268264,0.6495389491319656,0.6858423829078675,0.7307714968919754,0.7773884534835815,0.8306414783000946,0.8771632373332977,0.9039259314537048,0.939310222864151
Alibaba-NLP/gte-multilingual-base,kas_Deva,urd_Arab,1012,1,0.7967745065689087,0.06918736547231674,0.4939090609550476,0.9866819977760315,0.6278801667690277,0.6764987140893937,0.7052394211292267,0.7539782971143723,0.8003810346126556,0.8482185751199722,0.8822455465793609,0.9019707202911376,0.9406253379583358
Alibaba-NLP/gte-multilingual-base,ary_Arab,som_Latn,1012,1,0.7639034986495972,0.08270665258169174,0.4210432767868042,0.9785006642341614,0.5634754574298859,0.6267189830541611,0.6566650331020355,0.7092363089323044,0.7684401571750641,0.8199790716171265,0.871031379699707,0.898049384355545,0.9296230959892272
Alibaba-NLP/gte-multilingual-base,por_Latn,quy_Latn,1012,1,0.7702814340591431,0.08570200204849243,0.4286029040813446,0.9951881170272827,0.582151682972908,0.6339473307132721,0.6621349930763245,0.7100618630647659,0.7668339610099792,0.8281598836183548,0.8804976046085358,0.9165642887353896,0.9640310543775558
Alibaba-NLP/gte-multilingual-base,kas_Deva,tam_Taml,1012,1,0.8052714467048645,0.07467722147703171,0.5255010724067688,0.9954560399055481,0.615552938580513,0.6838102340698242,0.7089872062206268,0.7534053325653076,0.8100173473358154,0.8603917062282562,0.9000807225704193,0.9220569312572479,0.9567925417423248
Alibaba-NLP/gte-multilingual-base,bul_Cyrl,kab_Latn,1012,1,0.7766766548156738,0.07517511397600174,0.5191444158554077,0.9910546541213989,0.5941324770450592,0.6527893036603928,0.683397787809372,0.7256060540676117,0.7754634022712708,0.8275984823703766,0.8745972454547882,0.8969826817512512,0.9419221675395966
Alibaba-NLP/gte-multilingual-base,deu_Latn,kab_Latn,1012,1,0.7534984350204468,0.07886242121458054,0.4622360169887543,0.9624189138412476,0.5664910066127777,0.6281452775001526,0.6522229433059692,0.7005541175603867,0.752230316400528,0.8072157204151154,0.8539832055568695,0.8844268202781678,0.9287650638818741
Alibaba-NLP/gte-multilingual-base,ron_Latn,kab_Latn,1012,1,0.7826824188232422,0.08179549127817154,0.519166886806488,0.9834423661231995,0.5949182265996933,0.6436357855796814,0.6733205854892731,0.7268062382936478,0.7867898344993591,0.8382669240236282,0.8898193657398223,0.9166996628046035,0.9567334121465683
Alibaba-NLP/gte-multilingual-base,dan_Latn,kab_Latn,1012,1,0.7817175984382629,0.07866954058408737,0.5034908056259155,0.9898751378059387,0.6019479924440384,0.6480362445116044,0.6762807607650757,0.7300847470760345,0.7848968803882599,0.8339817374944687,0.8824185967445374,0.9111875623464584,0.966224940419197
Alibaba-NLP/gte-multilingual-base,arb_Arab,kab_Latn,1012,1,0.7520195841789246,0.07539892941713333,0.4723384380340576,0.986957848072052,0.5540745747089386,0.6266136318445206,0.6578408062458039,0.7038379609584808,0.7529627978801727,0.8044786006212234,0.8471937417984009,0.8747090876102448,0.9147364217042923
Alibaba-NLP/gte-multilingual-base,est_Latn,kab_Latn,1012,1,0.785921037197113,0.07993835210800171,0.5220719575881958,0.9748480916023254,0.5928733384609223,0.6529525190591812,0.6849431276321412,0.7303916811943054,0.7844486832618713,0.8422127366065979,0.8891974449157715,0.9155130743980407,0.9565855765342712
Alibaba-NLP/gte-multilingual-base,fin_Latn,kab_Latn,1012,1,0.7660845518112183,0.07406260073184967,0.5267099738121033,0.9847365617752075,0.5847625583410263,0.646138659119606,0.6729043185710907,0.7161458432674408,0.7665678262710571,0.815875455737114,0.8599165856838227,0.8852414041757584,0.9369085794687271
Alibaba-NLP/gte-multilingual-base,ben_Beng,kab_Latn,1012,1,0.7877817749977112,0.08100402355194092,0.5303367376327515,0.9846873879432678,0.5912965059280395,0.651798102259636,0.6817480206489563,0.7319657653570175,0.789341151714325,0.8445074409246445,0.8924271285533905,0.9192816972732544,0.9589821708202362
Alibaba-NLP/gte-multilingual-base,ind_Latn,kab_Latn,1012,1,0.7507703900337219,0.07513463497161865,0.4993728697299957,0.9801146388053894,0.5625541973114013,0.6246704190969468,0.6577045083045959,0.7029705196619034,0.7523819208145142,0.8018261045217514,0.8463193356990815,0.8731477528810501,0.9183824110031128
Alibaba-NLP/gte-multilingual-base,hun_Latn,kab_Latn,1012,1,0.7738897204399109,0.07988257706165314,0.5041560530662537,0.9920693635940552,0.5896713131666184,0.6397105157375336,0.6720734179019928,0.7188773900270462,0.777391105890274,0.8278361856937408,0.8778007864952088,0.9036670655012131,0.9477491909265517
Alibaba-NLP/gte-multilingual-base,pol_Latn,kab_Latn,1012,1,0.7643545866012573,0.080145925283432,0.4909668564796448,0.9750624895095825,0.5661857664585114,0.6330209612846375,0.6604776799678802,0.7108802795410156,0.7658805847167969,0.8190514743328094,0.8665941476821899,0.8969227612018585,0.9379668319225312
Alibaba-NLP/gte-multilingual-base,fra_Latn,luo_Latn,1866,2,0.7395150661468506,0.07982441037893295,0.4519662857055664,0.97719806432724,0.5524868577718735,0.606111004948616,0.6384890377521515,0.6864719092845917,0.73958820104599,0.793517604470253,0.8391170501708984,0.8693386763334274,0.9222402334213251
Alibaba-NLP/gte-multilingual-base,ces_Latn,kab_Latn,1012,1,0.7778285145759583,0.07817306369543076,0.5036669373512268,0.9858592748641968,0.595165200829506,0.6466563999652862,0.6781052231788636,0.7260591983795166,0.7769726514816284,0.8322559297084808,0.8741170108318329,0.908109864592552,0.9510087209939956
Alibaba-NLP/gte-multilingual-base,ell_Grek,kab_Latn,1012,1,0.7612339854240417,0.07893609255552292,0.511706531047821,0.9747762084007263,0.5665567100048066,0.6289653092622757,0.6595578193664551,0.7090155482292175,0.762554258108139,0.8168212175369263,0.8606572806835174,0.8906942188739776,0.9402464199066162
Alibaba-NLP/gte-multilingual-base,hrv_Latn,kab_Latn,1012,1,0.7670906186103821,0.07750291377305984,0.48756417632102966,0.9812656044960022,0.5756482380628586,0.6358687549829483,0.6673810482025146,0.7139988839626312,0.7692100703716278,0.8208628445863724,0.8642227053642273,0.8852719962596893,0.9404292917251587
Alibaba-NLP/gte-multilingual-base,ita_Latn,kab_Latn,1012,1,0.7713786363601685,0.08209075778722763,0.5020396113395691,0.9819583892822266,0.5732450765371323,0.6314080327749252,0.6641602873802185,0.7160168290138245,0.77244433760643,0.8277422189712524,0.8752856492996216,0.9061347723007201,0.9548359155654907
Alibaba-NLP/gte-multilingual-base,eus_Latn,kab_Latn,1012,1,0.8052988052368164,0.08864299952983856,0.5144676566123962,0.9961615204811096,0.6027531003952026,0.6587624967098236,0.6888894498348236,0.7443627119064331,0.8046306669712067,0.8710408210754395,0.9251150906085968,0.9472111165523529,0.9797216486930848
