lang_pair,source_lang,target_lang,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,data_quantile,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,kept_fraction_est
dan_Latn-kiu_Latn,dan_Latn,kiu_Latn,224743,1,0.5843127369880676,0.2549999952316284,0.324999988079071,0.5924999713897705,p10,0.324999988079071,0.324999988079071,0.5924999713897705,,0.324999988079071,0.95,0.9
dan_Latn-mlg_Latn,dan_Latn,mlg_Latn,219047,1,0.5337609052658081,0.2049999982118606,0.2649999856948852,0.5249999761581421,p10,0.2649999856948852,0.2649999856948852,0.5249999761581421,,0.2649999856948852,0.95,0.9
dan_Latn-pan_Guru,dan_Latn,pan_Guru,135545,1,0.480004221200943,0.0,0.0,0.4000000059604645,p10,0.0,0.05,0.4000000059604645,,0.05,0.95,0.7187500004656613
dan_Latn-snd_Arab,dan_Latn,snd_Arab,96580,1,0.2622400820255279,0.0,0.0,0.1000000014901161,p10,0.0,0.05,0.1000000014901161,,0.05,0.95,0.6250000018626451
dan_Latn-tha_Thai,dan_Latn,tha_Thai,14994257,1,0.7773184776306152,0.5249999761581421,0.6000000238418579,0.8037499785423279,p10,0.6000000238418579,0.6000000238418579,0.8037499785423279,,0.6000000238418579,0.95,0.9
dan_Latn-zho_Hant,dan_Latn,zho_Hant,5518138,1,0.7931297421455383,0.5350000262260437,0.6100000143051147,0.8237500190734863,p10,0.6100000143051147,0.6100000143051147,0.8237500190734863,,0.6100000143051147,0.95,0.9
deu_Latn-cat_Latn,deu_Latn,cat_Latn,266534,1,0.3997218012809753,0.0,0.0,0.25,p10,0.0,0.05,0.25,,0.05,0.95,0.7
deu_Latn-fas_Arab,deu_Latn,fas_Arab,40577602,1,0.7762795090675354,0.4799999892711639,0.5649999976158142,0.8112499713897705,p10,0.5649999976158142,0.5649999976158142,0.8112499713897705,,0.5649999976158142,0.95,0.9
deu_Latn-hbs_Latn,deu_Latn,hbs_Latn,1248114,1,0.5669090151786804,0.1749999970197677,0.2450000047683715,0.5674999952316284,p10,0.2450000047683715,0.2450000047683715,0.5674999952316284,,0.2450000047683715,0.95,0.9
deu_Latn-kab_Latn,deu_Latn,kab_Latn,217354,1,0.3269523382186889,0.0,0.0,0.2000000029802322,p10,0.0,0.05,0.2000000029802322,,0.05,0.95,0.7500000022351739
deu_Latn-lim_Latn,deu_Latn,lim_Latn,858565,1,0.4218300282955169,0.0,0.0,0.3000000119209289,p10,0.0,0.05,0.3000000119209289,,0.05,0.95,0.7083333349890178
deu_Latn-mya_Mymr,deu_Latn,mya_Mymr,771013,1,0.5942903161048889,0.0215211231261491,0.0884596556425094,0.6618457436561584,p10,0.0884596556425094,0.0884596556425094,0.6618457436561584,,0.0884596556425094,0.95,0.9
deu_Latn-pbt_Arab,deu_Latn,pbt_Arab,81137,1,0.6585918068885803,0.1612891554832458,0.2494042217731475,0.7289299368858337,p10,0.2494042217731475,0.2494042217731475,0.7289299368858337,,0.2494042217731475,0.95,0.9
deu_Latn-som_Latn,deu_Latn,som_Latn,304963,1,0.4778649508953094,0.0009872072841972,0.0022022491320967,0.3908743560314178,p10,0.0022022491320967,0.05,0.3908743560314178,,0.05,0.95,0.723726654675769
deu_Latn-tgl_Latn,deu_Latn,tgl_Latn,2448724,1,0.1849420815706253,0.0,0.0,0.0,p10,0.0,0.05,0.0,,0.05,0.95,0.4166666699780357
deu_Latn-wol_Latn,deu_Latn,wol_Latn,221000,1,0.4830488264560699,0.0011799867497757,0.0031445701606571,0.4205441176891327,p10,0.0031445701606571,0.05,0.4205441176891327,,0.05,0.95,0.7415310414532054
dyu_Latn-fra_Latn,dyu_Latn,fra_Latn,299671,1,0.3838532269001007,0.050000000745058,0.1000000014901161,0.3400000035762787,p10,0.1000000014901161,0.1000000014901161,0.3400000035762787,,0.1000000014901161,0.95,0.9
ekk_Latn-gle_Latn,ekk_Latn,gle_Latn,1580508,1,0.6191186904907227,0.2899999916553497,0.3625000119209289,0.6349999904632568,p10,0.3625000119209289,0.3625000119209289,0.6349999904632568,,0.3625000119209289,0.95,0.9
ekk_Latn-jpn_Jpan,ekk_Latn,jpn_Jpan,2653640,1,0.620924174785614,0.3149999976158142,0.3849999904632568,0.6424999833106995,p10,0.3849999904632568,0.3849999904632568,0.6424999833106995,,0.3849999904632568,0.95,0.9
ekk_Latn-lvs_Latn,ekk_Latn,lvs_Latn,16559293,1,0.5984671115875244,0.1150000020861625,0.25,0.6600000262260437,p10,0.25,0.25,0.6600000262260437,,0.25,0.95,0.9
ekk_Latn-npi_Deva,ekk_Latn,npi_Deva,124601,1,0.6640093326568604,0.395000010728836,0.4550000131130218,0.6775000095367432,p10,0.4550000131130218,0.4550000131130218,0.6775000095367432,,0.4550000131130218,0.95,0.9
ekk_Latn-srd_Latn,ekk_Latn,srd_Latn,214115,1,0.2349355518817901,0.0,0.0,0.050000000745058,p10,0.0,0.05,0.050000000745058,,0.05,0.95,0.5000000037252899
ekk_Latn-uzn_Latn,ekk_Latn,uzn_Latn,213021,1,0.6187865734100342,0.2549999952316284,0.324999988079071,0.6524999737739563,p10,0.324999988079071,0.324999988079071,0.6524999737739563,,0.324999988079071,0.95,0.9
ell_Grek-bre_Latn,ell_Grek,bre_Latn,49164,1,0.5396076440811157,0.1749999970197677,0.2450000047683715,0.5550000071525574,p10,0.2450000047683715,0.2450000047683715,0.5550000071525574,,0.2450000047683715,0.95,0.9
ell_Grek-fin_Latn,ell_Grek,fin_Latn,58675115,1,0.6401947140693665,0.2750000059604645,0.3499999940395355,0.675000011920929,p10,0.3499999940395355,0.3499999940395355,0.675000011920929,,0.3499999940395355,0.95,0.9
ell_Grek-hrv_Latn,ell_Grek,hrv_Latn,39608264,1,0.782745897769928,0.457500010728836,0.5550000071525574,0.8237500190734863,p10,0.5550000071525574,0.5550000071525574,0.8237500190734863,,0.5550000071525574,0.95,0.9
ell_Grek-khk_Cyrl,ell_Grek,khk_Cyrl,145279,1,0.6551609039306641,0.3000000119209289,0.3799999952316284,0.6837499737739563,p10,0.3799999952316284,0.3799999952316284,0.6837499737739563,,0.3799999952316284,0.95,0.9
ell_Grek-lzh_Hani,ell_Grek,lzh_Hani,563966,1,0.6835744976997375,0.3650000095367431,0.4449999928474426,0.7112500071525574,p10,0.4449999928474426,0.4449999928474426,0.7112500071525574,,0.4449999928474426,0.95,0.9
ell_Grek-nob_Latn,ell_Grek,nob_Latn,25058628,1,0.756976306438446,0.4600000083446502,0.5375000238418579,0.793749988079071,p10,0.5375000238418579,0.5375000238418579,0.793749988079071,,0.5375000238418579,0.95,0.9
ell_Grek-rus_Cyrl,ell_Grek,rus_Cyrl,50933035,1,0.7430145144462585,0.4099999964237213,0.5,0.7862499952316284,p10,0.5,0.5,0.7862499952316284,,0.5,0.95,0.9
ell_Grek-swa_Latn,ell_Grek,swa_Latn,1027428,1,0.5286784172058105,0.1550000011920929,0.2300000041723251,0.5299999713897705,p10,0.2300000041723251,0.2300000041723251,0.5299999713897705,,0.2300000041723251,0.95,0.9
ell_Grek-uzn_Latn,ell_Grek,uzn_Latn,174675,1,0.3256604075431824,0.0,0.0,0.1500000059604644,p10,0.0,0.05,0.1500000059604644,,0.05,0.95,0.6666666699780357
eng_Latn-ace_Latn,eng_Latn,ace_Latn,142174,1,0.6917010545730591,0.3300000131130218,0.4099999964237213,0.71875,p10,0.4099999964237213,0.4099999964237213,0.71875,,0.4099999964237213,0.95,0.9
eng_Latn-bam_Latn,eng_Latn,bam_Latn,225054,1,0.6227121353149414,0.0039279018528759,0.0106525104492902,0.8851785063743591,p10,0.0106525104492902,0.05,0.8851785063743591,,0.05,0.95,0.8401516586992046
eng_Latn-ceb_Latn,eng_Latn,ceb_Latn,142923,1,0.3525673747062683,0.0,0.0,0.2000000029802322,p10,0.0,0.05,0.2000000029802322,,0.05,0.95,0.6875000009313226
