model,avg_MRR,avg_rank,num_best_pairs
intfloat/multilingual-e5-large,0.9886663342679238,1.2182876482669014,2140
Alibaba-NLP/gte-multilingual-base,0.9735287015947266,1.3479881805607945,771
jinaai/jina-embeddings-v3,0.8796031496111999,6.784525755480113,715
jinaai/jina-embeddings-v5-text-small,0.8709703788085186,5.190562261620353,47
google/embeddinggemma-300m,0.842622486247912,5.714398130684438,386
Qwen/Qwen3-Embedding-0.6B,0.8139358628066087,7.045414728194811,2
jinaai/jina-embeddings-v5-text-nano,0.768648046471347,9.898362253237773,759
