model,avg_MRR,avg_rank,num_best_pairs
intfloat/multilingual-e5-large,0.9634683290532484,2.38660343805572,4374
Alibaba-NLP/gte-multilingual-base,0.8245017130703273,9.064112256697795,2
jinaai,0/jina-embeddings-v3.7652162098093108,45.129844665571824,426
jinaai/jina-embeddings-v5-text-small,0.7004755750209204,38.7317172301204,9
jinaai/jina-embeddings-v5-text-nano,0.636791362975825,48.80586549019989,4
google/embeddinggemma-300m,0.5962261860157572,55.491814453827246,5
Qwen/Qwen3-Embedding-0.6B,0.5925392336280475,49.880408767139265,0
