direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
arb_Arab-nso_Latn,metricx24,0.661115668,92237,1200000,0.1
arb_Arab-nya_Latn,shaomutan_remedy-9b-22,0.783569172,152008,200000,0.8
arb_Arab-plt_Latn,metricx24,0.783662805,72657,1200000,0.1
arb_Arab-pol_Latn,metricx24,0.798298,19005627,1200000,15.8
arb_Arab-por_Latn,metricx24,0.864314,25482339,1200000,21.2
arb_Arab-ron_Latn,metricx24,0.843886,19095867,1200000,15.9
arb_Arab-rus_Cyrl,metricx24,0.886376,39669089,1200000,33.1
arb_Arab-sin_Sinh,shaomutan_remedy-9b-22,0.926872411,1259143,200000,6.3
arb_Arab-slk_Latn,metricx24,0.79269,5592404,1200000,4.7
arb_Arab-slv_Latn,metricx24,0.868833,7034682,1200000,5.9
arb_Arab-sna_Latn,shaomutan_remedy-9b-22,0.812820273,130630,200000,0.7
arb_Arab-som_Latn,shaomutan_remedy-9b-22,0.790248203,949096,200000,4.7
arb_Arab-sot_Latn,shaomutan_remedy-9b-22,0.830360693,150206,200000,0.8
arb_Arab-spa_Latn,metricx24,0.876158,51101068,1200000,42.6
arb_Arab-sqi_Latn,metricx24,unknown,268916,1200000,0.2
arb_Arab-srd_Latn,qwen3-4b-instruct-2507,0.859786,238614,28000,8.5
arb_Arab-srp_Cyrl,metricx24,0.883406,2101611,1200000,1.8
arb_Arab-srp_Latn,metricx24,unknown,10838524,1200000,9.0
arb_Arab-sun_Latn,qwen3-4b-instruct-2507,0.90106,73400,28000,2.6
arb_Arab-swa_Latn,metricx24,unknown,355263,1200000,0.3
arb_Arab-swc_Latn,metricx24,unknown,98722,1200000,0.1
arb_Arab-swe_Latn,metricx24,0.86288,13892849,1200000,11.6
arb_Arab-swh_Latn,shaomutan_remedy-9b-22,0.927783409,720752,200000,3.6
arb_Arab-tam_Taml,qwen3-4b-instruct-2507,0.960438,1111884,28000,39.7
arb_Arab-tat_Cyrl,shaomutan_remedy-9b-22,0.90944567,609311,200000,3.0
